datetime,controlled_load,service_point_id,suffix,interval_read
2023-09-11 01:00,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 01:05,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.02
2023-09-11 01:05,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 01:10,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.02
2023-09-11 01:10,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 01:15,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.02
2023-09-11 01:15,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 01:20,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 01:20,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.016
2023-09-11 01:25,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 01:25,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.013
2023-09-11 01:30,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 01:30,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.013
2023-09-11 01:35,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 01:35,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.013
2023-09-11 01:40,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 01:40,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.013
2023-09-11 01:45,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.014
2023-09-11 01:45,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 01:50,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.02
2023-09-11 01:50,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 01:55,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.022
2023-09-11 01:55,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 02:00,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.025
2023-09-11 02:00,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 02:05,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.021
2023-09-11 02:05,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 02:10,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.018
2023-09-11 02:10,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 02:15,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.017
2023-09-11 02:15,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 02:20,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.013
2023-09-11 02:20,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 02:25,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 02:25,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.013
2023-09-11 02:30,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 02:30,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.013
2023-09-11 02:35,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.019
2023-09-11 02:35,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 02:40,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 02:40,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.02
2023-09-11 02:45,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 02:45,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.02
2023-09-11 02:50,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.018
2023-09-11 02:50,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 02:55,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.013
2023-09-11 02:55,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 03:00,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 03:00,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.012
2023-09-11 03:05,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 03:05,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.013
2023-09-11 03:10,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 03:10,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.012
2023-09-11 03:15,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 03:15,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.012
2023-09-11 03:20,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 03:20,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.015
2023-09-11 03:25,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 03:25,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.02
2023-09-11 03:30,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 03:30,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.02
2023-09-11 03:35,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 03:35,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.022
2023-09-11 03:40,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 03:40,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.018
2023-09-11 03:45,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 03:45,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.017
2023-09-11 03:50,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 03:50,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.02
2023-09-11 03:55,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 03:55,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.016
2023-09-11 04:00,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.012
2023-09-11 04:00,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 04:05,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.022
2023-09-11 04:05,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 04:10,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 04:10,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.019
2023-09-11 04:15,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.021
2023-09-11 04:15,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 04:20,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 04:20,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.02
2023-09-11 04:25,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 04:25,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.019
2023-09-11 04:30,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 04:30,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.013
2023-09-11 04:35,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 04:35,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.013
2023-09-11 04:40,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 04:40,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.014
2023-09-11 04:45,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.013
2023-09-11 04:45,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 04:50,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 04:50,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.013
2023-09-11 04:55,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 04:55,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.018
2023-09-11 05:00,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.02
2023-09-11 05:00,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 05:05,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 05:05,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.02
2023-09-11 05:10,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 05:10,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.02
2023-09-11 05:15,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.015
2023-09-11 05:15,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 05:20,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 05:20,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.019
2023-09-11 05:25,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 05:25,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.018
2023-09-11 05:30,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.019
2023-09-11 05:30,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 05:35,False,_T05uGG-XCqBJCn9lCdxug==,E1,0.017
2023-09-11 05:35,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
2023-09-11 05:40,False,_T05uGG-XCqBJCn9lCdxug==,B1,0.0
