datetime,controlled_load,service_point_id,suffix,interval_read
2023-10-01 00:00,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.287
2023-10-01 00:05,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.288
2023-10-01 00:10,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.288
2023-10-01 00:15,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.289
2023-10-01 00:20,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.287
2023-10-01 00:25,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.286
2023-10-01 00:30,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.287
2023-10-01 00:35,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.288
2023-10-01 00:40,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.292
2023-10-01 00:45,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.291
2023-10-01 00:50,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.289
2023-10-01 00:55,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.293
2023-10-01 01:00,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.293
2023-10-01 01:05,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.293
2023-10-01 01:10,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.294
2023-10-01 01:15,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.296
2023-10-01 01:20,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.297
2023-10-01 01:25,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.294
2023-10-01 01:30,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.297
2023-10-01 01:35,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.275
2023-10-01 01:40,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 01:45,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 01:50,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 01:55,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 02:00,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 02:05,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 02:10,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 02:15,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 02:20,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 02:25,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 02:30,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 02:35,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 02:40,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 02:45,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 02:50,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 02:55,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 03:00,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 03:05,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 03:10,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 03:15,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 03:20,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 03:25,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 03:30,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 03:35,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 03:40,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 03:45,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 03:50,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 03:55,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 04:00,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 04:05,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 04:10,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 04:15,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 04:20,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 04:25,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 04:30,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.261
2023-10-01 04:35,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.299
2023-10-01 04:40,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.19
2023-10-01 04:45,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 04:50,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 04:55,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 05:00,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 05:05,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 05:10,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 05:15,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 05:20,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 05:25,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 05:30,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 05:35,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 05:40,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 05:45,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 05:50,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 05:55,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 06:00,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 06:05,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 06:10,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 06:15,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 06:20,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 06:25,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 06:30,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 06:35,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 06:40,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 06:45,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 06:50,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 06:55,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 07:00,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 07:05,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 07:10,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
2023-10-01 07:15,True,pfvim1oRCoHUvaMUq5VzAQ==,E2,0.0
